"Property Address","City","Zip","County","Building Type","Roof Sqft (estimated)","Owner LLC / Company Name","Owner Contact Name","Owner Email","Estimated Solar Potential (kWh/year)","Solar Score","Parcel ID","GIS Source URL"
"1000 Lopes Rd","Vacaville","95688","Solano","Industrial/Flex","72000","Lopes Road Industrial LLC","","","809924","Medium","0133-065-031","https://gis.solanocounty.com/"
"400 Mason Dr","Vacaville","95688","Solano","Industrial","115000","Mason Drive LLC","","","810488","Medium","0133-070-032","https://gis.solanocounty.com/"
"2300 E Monte Vista Ave","Vacaville","95688","Solano","Industrial","155000","Monte Vista LLC","","","812522","Medium","0133-075-033","https://gis.solanocounty.com/"
"3200 Business Dr","Suisun City","94585","Solano","Industrial","88000","Suisun Business Park LLC","","","812635","Medium","0172-010-034","https://gis.solanocounty.com/"
"700 Contra Costa Blvd","Vallejo","94590","Solano","Office/Industrial","68000","Contra Costa Industrial LLC","","","811961","Medium","0053-215-035","https://gis.solanocounty.com/"
"2048 Cadenasso Dr","Fairfield","94533","Solano","Industrial","105000","Cadenasso Drive LLC","","","810607","Medium","0148-055-036","https://gis.solanocounty.com/"
"1200 Air Base Pkwy","Fairfield","94533","Solano","Industrial/Former Military","450000","Solano Air Base Partners LLC","","","811866","Medium","0148-060-037","https://gis.solanocounty.com/"
"1800 Fry Rd","Fairfield","94534","Solano","Industrial/Logistics","210000","Fry Road Logistics LLC","","","809563","Medium","0028-260-038","https://gis.solanocounty.com/"
"3500 Chadbourne Rd","Fairfield","94534","Solano","Warehouse/Distribution","165000","Chadbourne Dist LLC","","","810650","Medium","0028-270-039","https://gis.solanocounty.com/"
"2220 Pine View Way","Petaluma","94954","Sonoma","Warehouse","200000","Pine View Logistics LLC","","","810152","Medium","005-040-020","https://gis.sonomacounty.ca.gov/"
"2250 S McDowell Blvd Ext","Petaluma","94954","Sonoma","Industrial","136867","McDowell Industrial Partners LLC","","","811477","Medium","005-045-021","https://gis.sonomacounty.ca.gov/"
"2321 Circadian Way","Santa Rosa","95407","Sonoma","Industrial/Warehouse","185000","Circadian Properties LLC","","","812192","Medium","034-060-022","https://gis.sonomacounty.ca.gov/"
"1365 Industrial Ave","Petaluma","94952","Sonoma","Industrial","115000","Petaluma Industrial LLC","","","810771","Medium","007-080-023","https://gis.sonomacounty.ca.gov/"
"2001 W Airport Blvd","Santa Rosa","95403","Sonoma","Industrial/Distribution","210000","Airport Commerce LLC","","","811978","Medium","028-050-025","https://gis.sonomacounty.ca.gov/"
"3765 Santa Rosa Ave","Santa Rosa","95407","Sonoma","Retail/Warehouse","95000","Santa Rosa Ave LLC","","","811961","Medium","034-075-024","https://gis.sonomacounty.ca.gov/"
"4515 Industrial Dr","Rohnert Park","94928","Sonoma","Industrial","72000","Rohnert Park Industrial LLC","","","812518","Medium","045-100-027","https://gis.sonomacounty.ca.gov/"
"1050 Technology Dr","Petaluma","94954","Sonoma","Office/R&D","80000","Petaluma Tech Park LLC","","","812055","Medium","005-090-026","https://gis.sonomacounty.ca.gov/"
"3000 Dutton Meadow","Santa Rosa","95407","Sonoma","Industrial/Warehouse","165000","Dutton Meadow LLC","","","812419","Medium","034-085-038","https://gis.sonomacounty.ca.gov/"
"1900 Piner Rd","Santa Rosa","95403","Sonoma","Industrial","120000","Piner Road Industrial LLC","","","811193","Medium","028-060-039","https://gis.sonomacounty.ca.gov/"
"5800 Redwood Dr","Rohnert Park","94928","Sonoma","Industrial","88000","Redwood Drive LLC","","","811076","Medium","045-110-040","https://gis.sonomacounty.ca.gov/"
"2300 Lindbergh St","Santa Rosa","95401","Sonoma","Industrial","95000","Lindbergh Properties LLC","","","810939","Medium","009-050-041","https://gis.sonomacounty.ca.gov/"
"3300 Industrial Dr","Santa Rosa","95403","Sonoma","Industrial","145000","Industrial Drive LLC","","","811291","Medium","028-065-043","https://gis.sonomacounty.ca.gov/"
"1200 Corporate Center Dr","Rohnert Park","94928","Sonoma","Office","75000","Corporate Center LLC","","","812782","Medium","045-120-044","https://gis.sonomacounty.ca.gov/"
"700 Lindbergh St","Santa Rosa","95401","Sonoma","Industrial","98000","Lindbergh Industrial LLC","","","812374","Medium","009-055-045","https://gis.sonomacounty.ca.gov/"
"2000 Airport Rd","Healdsburg","95448","Sonoma","Industrial","65000","Healdsburg Industrial LLC","","","809633","Medium","093-010-046","https://gis.sonomacounty.ca.gov/"
"3100 Dutton Ave","Santa Rosa","95407","Sonoma","Industrial/Warehouse","130000","Dutton Ave LLC","","","812260","Medium","034-090-047","https://gis.sonomacounty.ca.gov/"
"795 Hearst Dr","Petaluma","94954","Sonoma","Industrial/Flex","80000","Hearst Drive LLC","","","810662","Medium","005-097-048","https://gis.sonomacounty.ca.gov/"
"1600 Shiloh Rd NW","Windsor","95492","Sonoma","Industrial","72000","Windsor Industrial LLC","","","811894","Medium","161-065-049","https://gis.sonomacounty.ca.gov/"
"8th Street East","Sonoma","95476","Sonoma","Warehouse/Distribution","95000","Sonoma Valley Logistics LLC","","","810237","Medium","128-010-050","https://gis.sonomacounty.ca.gov/"
"2400 N McDowell Blvd","Petaluma","94954","Sonoma","Industrial","155000","North McDowell LLC","","","811091","Medium","005-100-051","https://gis.sonomacounty.ca.gov/"
"625 Laughlin Rd","Windsor","95492","Sonoma","Industrial/Warehouse","88000","Laughlin Industrial LLC","","","811365","Medium","161-061-026","https://gis.sonomacounty.ca.gov/"
"350 W Robles Ave","Petaluma","94952","Sonoma","Industrial","68000","West Robles LLC","","","809488","Medium","007-090-052","https://gis.sonomacounty.ca.gov/"
"1997 S McDowell Blvd","Petaluma","94954","Sonoma","Industrial/Flex","75000","S McDowell Partners LLC","","","812664","Medium","005-105-053","https://gis.sonomacounty.ca.gov/"
"2100 Lindbergh St","Santa Rosa","95401","Sonoma","Industrial","115000","Lindbergh Plaza LLC","","","811656","Medium","009-060-054","https://gis.sonomacounty.ca.gov/"
"400 Boone Dr","American Canyon","94503","Napa","Warehouse/Logistics","650000","Biagi Bros Inc","Ed Biagi (President)","","810978","Medium","058-015-015","https://gis.napa.ca.gov/"
"300 Boone Dr","American Canyon","94503","Napa","Distribution Center","201950","Amazon.com LLC","Brian Olsavsky (CFO)","ir@amazon.com","810938","Medium","058-010-014","https://gis.napa.ca.gov/"
"700 Eucalyptus Ave","Napa","94558","Napa","Warehouse/Distribution","185000","Napa Distribution Partners LLC","","","810635","Medium","046-080-029","https://gis.napa.ca.gov/"
"3225 California Blvd","Napa","94558","Napa","Industrial/Winery","210000","Napa Wine Estates LLC","","","811054","Medium","046-090-030","https://gis.napa.ca.gov/"
"750 Devlin Rd","American Canyon","94503","Napa","Industrial/Warehouse","156000","Devlin Road LLC","","","812092","Medium","058-025-031","https://gis.napa.ca.gov/"
"850 Technology Wy","Napa","94559","Napa","Industrial/Tech","95000","Napa Technology Partners LLC","","","810913","Medium","046-100-032","https://gis.napa.ca.gov/"
"975 Technology Wy","American Canyon","94503","Napa","Industrial/Flex","120000","Napa Valley Industrial LLC","","","810363","Medium","058-020-028","https://gis.napa.ca.gov/"
"3001 St Helena Hwy N","St. Helena","94574","Napa","Winery/Industrial","92000","Beringer Wine Estates LLC","","","810432","Medium","027-120-033","https://gis.napa.ca.gov/"
"2100 Big Ranch Rd","Napa","94558","Napa","Winery/Warehouse","145000","Duckhorn Wine Co LLC","","","811310","Medium","046-125-034","https://gis.napa.ca.gov/"
"1001 Classic Ct","Napa","94559","Napa","Industrial","88000","Classic Court LLC","","","811482","Medium","046-130-054","https://gis.napa.ca.gov/"
"2200 Airport Rd","Napa","94558","Napa","Industrial/Warehouse","115000","Napa Airport Industrial LLC","","","810657","Medium","046-135-055","https://gis.napa.ca.gov/"
"100 Enterprise Dr","Napa","94558","Napa","Industrial","72000","Napa Enterprise LLC","","","811483","Medium","046-140-056","https://gis.napa.ca.gov/"
"1501 Commerce Dr","Napa","94558","Napa","Industrial/Flex","98000","Commerce Drive LLC","","","811679","Medium","046-145-057","https://gis.napa.ca.gov/"
"800 Executive Ave","Napa","94558","Napa","Office/Industrial","65000","Executive Ave Napa LLC","","","811440","Medium","046-150-058","https://gis.napa.ca.gov/"
"1525 Bordeaux Way","Napa","94558","Napa","Winery/Industrial","135000","Bordeaux Way LLC","","","810694","Medium","046-155-059","https://gis.napa.ca.gov/"
"400 Devlin Rd","Napa","94558","Napa","Warehouse","78000","Devlin Napa LLC","","","810545","Medium","046-160-060","https://gis.napa.ca.gov/"
"1200 New Technology Way","Napa","94558","Napa","Industrial/Tech","92000","New Technology Napa LLC","","","811697","Medium","046-165-061","https://gis.napa.ca.gov/"
"555 Gateway Rd W","Napa","94558","Napa","Industrial/Distribution","155000","Gateway West LLC","","","811845","Medium","046-170-062","https://gis.napa.ca.gov/"
"2401 American Canyon Rd","American Canyon","94503","Napa","Industrial/Warehouse","135000","American Canyon Industrial LLC","","","811376","Medium","058-030-063","https://gis.napa.ca.gov/"
"820 Technology Way","American Canyon","94503","Napa","Industrial/Flex","68000","Technology Way LLC","","","811340","Medium","058-035-064","https://gis.napa.ca.gov/"
"100 Rowland Way","Novato","94945","Marin","Office/Industrial","348480","Novato Gateway LLC","","","811439","Medium","157-062-033","https://gis.marincounty.org/"
"150 Pelican Way","San Rafael","94901","Marin","Industrial/Flex","85000","San Rafael Pelican LLC","","","810908","Medium","009-381-034","https://gis.marincounty.org/"
"1 Northgate Dr","Novato","94949","Marin","Industrial Park","120000","Northgate Industrial Partners LLC","","","810941","Medium","157-070-035","https://gis.marincounty.org/"
"4340 Redwood Hwy","San Rafael","94903","Marin","Retail/Office","95000","Redwood Highway Properties LLC","","","810739","Medium","009-395-036","https://gis.marincounty.org/"
"7333 Redwood Blvd","Novato","94945","Marin","Office/Flex","68000","Redwood Blvd Holdings LLC","","","811323","Medium","157-078-037","https://gis.marincounty.org/"
"900 Northgate Dr","San Rafael","94903","Marin","Retail Mall/Office","580000","Northgate Mall LLC","","","810901","Medium","009-410-065","https://gis.marincounty.org/"
"2000 Redwood Hwy","Greenbrae","94904","Marin","Office","78000","Greenbrae Office LLC","","","811340","Medium","007-090-067","https://gis.marincounty.org/"
"1600 Los Gamos Dr","San Rafael","94903","Marin","Office Park","200000","Los Gamos Properties LLC","","","811280","Medium","009-415-068","https://gis.marincounty.org/"
"75 Digital Dr","Novato","94949","Marin","Office/Tech","88000","Digital Drive Novato LLC","","","811190","Medium","157-085-071","https://gis.marincounty.org/"
"1900 Novato Blvd","Novato","94947","Marin","Industrial/Retail","72000","Novato Boulevard LLC","","","810868","Medium","157-090-072","https://gis.marincounty.org/"
"1000 Las Gallinas Ave","San Rafael","94903","Marin","Office/Industrial","95000","Las Gallinas Office LLC","","","811240","Medium","009-420-073","https://gis.marincounty.org/"
"200 Harbor Dr","Sausalito","94965","Marin","Industrial/Marina","68000","Sausalito Harbor LLC","","","811542","Medium","065-262-074","https://gis.marincounty.org/"
"350 Ignacio Blvd","Novato","94949","Marin","Office/Flex","82000","Ignacio Blvd LLC","","","810510","Medium","157-095-075","https://gis.marincounty.org/"
"1 Belvedere Dr","Mill Valley","94941","Marin","Office/Industrial","65000","Belvedere Drive LLC","","","811657","Medium","049-010-070","https://gis.marincounty.org/"
"550 Las Gallinas Ave","San Rafael","94903","Marin","Office","65000","Las Gallinas Office LLC","","","811123","Medium","009-425-127","https://gis.marincounty.org/"
"400 Ignacio Blvd","Novato","94949","Marin","Office/Industrial","78000","Novato Corp Center LLC","","","811307","Medium","157-096-124","https://gis.marincounty.org/"
"300 W MacArthur Blvd","Oakland","94611","Alameda","Office","65000","West MacArthur LLC","","","791328","Medium","025-0200-115-00","https://data.acgov.org/"
"11600 Edgewater Dr","Oakland","94621","Alameda","Industrial","95000","Edgewater Industrial LLC","","","790344","Medium","037-3650-116-00","https://data.acgov.org/"
"1000 Burnett Ave","Concord","94520","Contra Costa","Office Campus","145000","Concord Office LLC","","","831156","High","117-200-117-0","https://ccmap.cccounty.us/"
"2940 Camino Diablo","Walnut Creek","94597","Contra Costa","Office","82000","Camino Diablo LLC","","","832107","High","173-010-118-0","https://ccmap.cccounty.us/"
"450 National Ave","San Bruno","94066","San Mateo","Industrial","88000","National Avenue LLC","","","830224","High","020-040-119","https://data.smcgov.org/"
"601 Minnesota St","San Francisco","94107","San Francisco","PDR/Office","180000","Minnesota Street LLC","","","780738","Medium","4179001","https://data.sfgov.org/"
"501 Kansas St","San Francisco","94107","San Francisco","Industrial/PDR","135000","Kansas Street LLC","","","780704","Medium","4180001","https://data.sfgov.org/"
"3200 Sonoma Mountain Rd","Petaluma","94954","Sonoma","Industrial/Winery","95000","Sonoma Mountain LLC","","","811336","Medium","029-010-120","https://gis.sonomacounty.ca.gov/"
"2600 California Blvd","Napa","94558","Napa","Industrial/Winery","65000","California Blvd LLC","","","811216","Medium","046-175-121","https://gis.napa.ca.gov/"
"250 Bel Marin Keys Blvd","Novato","94949","Marin","Office/Industrial","115000","Bel Marin Keys LLC","","","810662","Medium","157-100-122","https://gis.marincounty.org/"
"2600 Marine Way","Mountain View","94043","Santa Clara","Office/R&D","165000","Mountain View Marine LLC","","","821225","High","160-70-201","https://prod-sccgov.opendata.arcgis.com/"
"1400 N Hamilton Pkwy","Novato","94949","Marin","Industrial/Commercial","85000","Hamilton Parkway LLC","","","811264","Medium","157-101-202","https://gis.marincounty.org/"
"2500 Airport Rd","Napa","94558","Napa","Industrial/Warehouse","105000","Napa Airport Logistics LLC","","","811483","Medium","046-175-203","https://gis.napa.ca.gov/"
