"Property Address","City","Zip","County","Building Type","Roof Sqft (estimated)","Owner LLC / Company Name","Owner Contact Name","Owner Email","Estimated Solar Potential (kWh/year)","Solar Score","Parcel ID","GIS Source URL"
"700 Admiral Callaghan Ln","Vallejo","94591","Solano","Retail","42000","Admiral Callaghan LLC","","","324005","Medium","0053-220-007","https://gis.solanocounty.com/"
"2100 Springs Rd","Vallejo","94591","Solano","Office/Retail","35000","Springs Road LLC","","","324043","Medium","0053-225-008","https://gis.solanocounty.com/"
"3000 Alamo Dr","Vacaville","95687","Solano","Retail","45000","Alamo Drive LLC","","","324358","Medium","0133-090-009","https://gis.solanocounty.com/"
"1500 Oliver Rd","Fairfield","94534","Solano","Industrial","38000","Oliver Road LLC","","","325180","Medium","0028-290-010","https://gis.solanocounty.com/"
"800 Enterprise Dr","Vacaville","95688","Solano","Industrial","32000","Enterprise Vacaville LLC","","","324161","Medium","0133-095-011","https://gis.solanocounty.com/"
"2400 Peabody Rd","Vacaville","95687","Solano","Retail/Office","35000","Peabody Road LLC","","","324556","Medium","0133-100-012","https://gis.solanocounty.com/"
"1000 Beck Ave","Fairfield","94533","Solano","Office","20500","Beck Avenue LLC","","","324623","Medium","0148-080-013","https://gis.solanocounty.com/"
"700 Mason St","Vacaville","95688","Solano","Industrial","42000","Mason Industrial LLC","","","324755","Medium","0133-105-014","https://gis.solanocounty.com/"
"1800 Matterhorn Dr","Fairfield","94534","Solano","Industrial","35000","Matterhorn Industrial LLC","","","324517","Medium","0028-295-015","https://gis.solanocounty.com/"
"200 Dobbins St","Vacaville","95688","Solano","Industrial","28000","Dobbins LLC","","","324041","Medium","0133-110-016","https://gis.solanocounty.com/"
"3100 Nut Tree Rd","Vacaville","95687","Solano","Retail","38000","Nut Tree Retail LLC","","","323913","Medium","0133-115-017","https://gis.solanocounty.com/"
"1000 Sage Ave","Fairfield","94533","Solano","Office","22000","Sage Avenue LLC","","","324593","Medium","0148-085-018","https://gis.solanocounty.com/"
"2200 Waterman Blvd","Fairfield","94534","Solano","Industrial","32000","Waterman Industrial LLC","","","324564","Medium","0028-300-019","https://gis.solanocounty.com/"
"1600 N Village Pkwy","Vacaville","95688","Solano","Retail","45000","Village Parkway LLC","","","324595","Medium","0133-120-020","https://gis.solanocounty.com/"
"4200 N Texas St","Fairfield","94533","Solano","Retail","28000","North Texas Retail LLC","","","324039","Medium","0148-090-021","https://gis.solanocounty.com/"
"2000 Shoemaker Rd","Sonoma","95476","Sonoma","Industrial/Winery","45000","Sonoma Shoemaker LLC","","","324758","Medium","128-015-001","https://gis.sonomacounty.ca.gov/"
"1200 Lakeville Hwy","Petaluma","94954","Sonoma","Industrial","38000","Lakeville Industrial LLC","","","324547","Medium","005-125-002","https://gis.sonomacounty.ca.gov/"
"2800 Stony Point Rd","Santa Rosa","95407","Sonoma","Industrial","42000","Stony Point LLC","","","324311","Medium","034-095-003","https://gis.sonomacounty.ca.gov/"
"1200 Enterprise Dr","Petaluma","94952","Sonoma","Industrial","35000","Enterprise Petaluma LLC","","","324479","Medium","007-100-004","https://gis.sonomacounty.ca.gov/"
"200 Caulfield Ln","Petaluma","94952","Sonoma","Industrial/Flex","28000","Caulfield LLC","","","324827","Medium","007-105-005","https://gis.sonomacounty.ca.gov/"
"3700 Industrial Dr","Santa Rosa","95403","Sonoma","Industrial","45000","Santa Rosa Industrial LLC","","","324254","Medium","028-070-006","https://gis.sonomacounty.ca.gov/"
"4200 Petaluma Hill Rd","Santa Rosa","95404","Sonoma","Industrial","35000","Petaluma Hill LLC","","","324084","Medium","009-065-007","https://gis.sonomacounty.ca.gov/"
"1100 Business Center Dr","Petaluma","94954","Sonoma","Office","22000","Business Center Petaluma LLC","","","323912","Medium","005-110-008","https://gis.sonomacounty.ca.gov/"
"2500 Petaluma Blvd S","Petaluma","94952","Sonoma","Industrial","38000","South Petaluma LLC","","","324334","Medium","007-110-009","https://gis.sonomacounty.ca.gov/"
"4700 Old Redwood Hwy","Petaluma","94954","Sonoma","Industrial","28000","Old Redwood LLC","","","325180","Medium","005-115-010","https://gis.sonomacounty.ca.gov/"
"1000 Gateway Ctr Pkwy","Santa Rosa","95403","Sonoma","Office/Retail","42000","Gateway Center LLC","","","324968","Medium","028-075-011","https://gis.sonomacounty.ca.gov/"
"2300 County Center Dr","Santa Rosa","95403","Sonoma","Office","35000","County Center LLC","","","324625","Medium","028-080-012","https://gis.sonomacounty.ca.gov/"
"5225 Redwood Dr","Rohnert Park","94928","Sonoma","Industrial","28000","Redwood Drive LLC","","","324181","Medium","045-130-013","https://gis.sonomacounty.ca.gov/"
"6500 Commerce Blvd","Rohnert Park","94928","Sonoma","Retail","42000","Commerce Blvd LLC","","","324473","Medium","045-135-014","https://gis.sonomacounty.ca.gov/"
"1450 Corporate Center Pkwy","Santa Rosa","95407","Sonoma","Industrial","35000","Corporate Center Sonoma LLC","","","324413","Medium","034-100-015","https://gis.sonomacounty.ca.gov/"
"2100 Dutton Ave","Santa Rosa","95407","Sonoma","Industrial","22000","Dutton Avenue LLC","","","324633","Medium","034-105-016","https://gis.sonomacounty.ca.gov/"
"800 Doris Ave","Petaluma","94954","Sonoma","Industrial","28000","Doris Avenue LLC","","","324274","Medium","005-120-017","https://gis.sonomacounty.ca.gov/"
"1600 Gossage Ave","Petaluma","94952","Sonoma","Industrial","35000","Gossage Avenue LLC","","","324416","Medium","007-115-018","https://gis.sonomacounty.ca.gov/"
"3900 Industrial Dr","Rohnert Park","94928","Sonoma","Industrial","42000","Rohnert Park Industrial LLC","","","324999","Medium","045-140-019","https://gis.sonomacounty.ca.gov/"
"500 Redwood Way","Petaluma","94954","Sonoma","Industrial/Flex","20500","Redwood Way LLC","","","324815","Medium","005-125-020","https://gis.sonomacounty.ca.gov/"
"1100 Todd Rd","Santa Rosa","95407","Sonoma","Industrial/Winery","38000","Todd Road Winery LLC","","","324508","Medium","034-110-021","https://gis.sonomacounty.ca.gov/"
"950 Shiloh Rd NW","Windsor","95492","Sonoma","Industrial","25000","Windsor Shiloh LLC","","","324790","Medium","161-070-022","https://gis.sonomacounty.ca.gov/"
"3500 Bel Aire Rd","Napa","94558","Napa","Industrial","30000","Bel Aire Napa LLC","","","324505","Medium","046-215-001","https://gis.napa.ca.gov/"
"1000 Trancas St","Napa","94558","Napa","Retail/Office","31000","Trancas LLC","","","324410","Medium","046-220-002","https://gis.napa.ca.gov/"
"1625 Imola Ave W","Napa","94558","Napa","Industrial/Office","42000","Imola Avenue LLC","","","324162","Medium","046-225-003","https://gis.napa.ca.gov/"
"3355 Solano Ave","Napa","94558","Napa","Retail","35000","Solano Avenue LLC","","","324450","Medium","046-230-004","https://gis.napa.ca.gov/"
"800 Trower Ave","Napa","94558","Napa","Industrial","28000","Trower LLC","","","324686","Medium","046-235-005","https://gis.napa.ca.gov/"
"1201 Gasser Dr","Napa","94559","Napa","Industrial/Flex","22000","Gasser Drive LLC","","","324249","Medium","046-240-006","https://gis.napa.ca.gov/"
"1700 Industrial Way","Napa","94558","Napa","Industrial","38000","Industrial Way Napa LLC","","","324721","Medium","046-245-007","https://gis.napa.ca.gov/"
"1601 Silverado Trail","Napa","94558","Napa","Winery/Industrial","48000","Silverado Trail LLC","","","324414","Medium","046-250-008","https://gis.napa.ca.gov/"
"2100 Jefferson St","Napa","94559","Napa","Office/Medical","32000","Jefferson Medical LLC","","","324675","Medium","046-255-009","https://gis.napa.ca.gov/"
"1000 Freeway Dr","Napa","94558","Napa","Industrial/Retail","42000","Freeway Drive LLC","","","324580","Medium","046-260-010","https://gis.napa.ca.gov/"
"500 Lincoln Ave","Napa","94558","Napa","Office/Retail","25000","Lincoln Avenue LLC","","","324484","Medium","046-265-011","https://gis.napa.ca.gov/"
"1100 Main St","Napa","94559","Napa","Office/Retail","22000","Main Street Napa LLC","","","324136","Medium","046-270-012","https://gis.napa.ca.gov/"
"1440 Technology Way","American Canyon","94503","Napa","Industrial","35000","AC Technology LLC","","","324388","Medium","058-040-013","https://gis.napa.ca.gov/"
"600 Grant Ave","Napa","94558","Napa","Office","20500","Grant Avenue LLC","","","324734","Medium","046-275-014","https://gis.napa.ca.gov/"
"3225 Solano Ave","Napa","94558","Napa","Retail","28000","Solano Retail LLC","","","324678","Medium","046-280-015","https://gis.napa.ca.gov/"
"1700 Airport Rd","Napa","94558","Napa","Industrial","45000","Napa Airport Road LLC","","","324234","Medium","046-285-016","https://gis.napa.ca.gov/"
"2000 Napa Valley Corporate Dr","Napa","94558","Napa","Office/Industrial","38000","Napa Corporate LLC","","","324346","Medium","046-290-017","https://gis.napa.ca.gov/"
"3100 Commerce Dr","American Canyon","94503","Napa","Industrial","30000","Commerce Drive LLC","","","324614","Medium","058-045-018","https://gis.napa.ca.gov/"
"900 Business Dr","St. Helena","94574","Napa","Industrial/Winery","22000","St Helena Business LLC","","","324213","Medium","027-130-019","https://gis.napa.ca.gov/"
"1400 Skypark Blvd","Napa","94558","Napa","Industrial/Airport","48000","Skypark Industrial LLC","","","324361","Medium","046-295-020","https://gis.napa.ca.gov/"
"400 Lindaro St","San Rafael","94901","Marin","Office/Industrial","21000","Lindaro Partners LLC","","","324361","Medium","009-430-001","https://gis.marincounty.org/"
"1500 S Novato Blvd","Novato","94947","Marin","Retail/Office","41000","South Novato LLC","","","324558","Medium","157-090-002","https://gis.marincounty.org/"
"930 Tamalpais Ave","Novato","94947","Marin","Industrial/Flex","22000","Novato Industrial Partners LLC","","","324385","Medium","157-079-003","https://gis.marincounty.org/"
"1029 Corporate Center Dr","Novato","94945","Marin","Office/Flex","39000","Corporate Center Novato LLC","","","324482","Medium","157-081-004","https://gis.marincounty.org/"
"150 Donahue St","Sausalito","94965","Marin","Industrial/PDR","28000","Sausalito Industrial LLC","","","324276","Medium","065-251-005","https://gis.marincounty.org/"
"777 Grand Ave","San Rafael","94901","Marin","Office/Retail","35000","Grand Avenue Properties LLC","","","324375","Medium","009-396-006","https://gis.marincounty.org/"
"50 Professional Center Pkwy","San Rafael","94903","Marin","Office Park","46000","Professional Center LLC","","","324283","Medium","009-400-007","https://gis.marincounty.org/"
"2200 Redwood Hwy","Greenbrae","94904","Marin","Office","32000","Greenbrae Office Partners LLC","","","324508","Medium","007-095-008","https://gis.marincounty.org/"
"1450 N Hamilton Pkwy","Novato","94949","Marin","Industrial","25000","Hamilton Industrial LLC","","","324601","Medium","157-100-009","https://gis.marincounty.org/"
"400 Drake Ave","Marin City","94965","Marin","Retail","22000","Drake Avenue LLC","","","324350","Medium","065-080-010","https://gis.marincounty.org/"
"900 Larkspur Landing Cir","Larkspur","94939","Marin","Office/Retail","35000","Larkspur Landing LLC","","","324362","Medium","022-021-011","https://gis.marincounty.org/"
"1700 Novato Blvd","Novato","94947","Marin","Retail","28000","Novato Blvd Retail LLC","","","324545","Medium","157-105-012","https://gis.marincounty.org/"
"200 Corte Madera Town Ctr","Corte Madera","94925","Marin","Retail","48000","Corte Madera TC LLC","","","324720","Medium","027-190-013","https://gis.marincounty.org/"
"3 Hamilton Landing","Novato","94949","Marin","Office","42000","Hamilton Landing LLC","","","324439","Medium","157-110-014","https://gis.marincounty.org/"
"100 Shoreline Hwy","Mill Valley","94941","Marin","Office/Industrial","26000","Shoreline Highway LLC","","","324285","Medium","049-015-015","https://gis.marincounty.org/"
